Individual ID,Population,Super population,Population Details,Super population Details
NA19149,YRI,AFR,Yoruba,African
NA19152,YRI,AFR,Yoruba,African
NA19153,YRI,AFR,Yoruba,African
NA19159,YRI,AFR,Yoruba,African
NA19160,YRI,AFR,Yoruba,African
NA19171,YRI,AFR,Yoruba,African
NA19172,YRI,AFR,Yoruba,African
NA19175,YRI,AFR,Yoruba,African
NA19184,YRI,AFR,Yoruba,African
NA19185,YRI,AFR,Yoruba,African
NA19189,YRI,AFR,Yoruba,African
NA19190,YRI,AFR,Yoruba,African
NA19197,YRI,AFR,Yoruba,African
NA19198,YRI,AFR,Yoruba,African
NA19200,YRI,AFR,Yoruba,African
NA19201,YRI,AFR,Yoruba,African
NA19204,YRI,AFR,Yoruba,African
NA19206,YRI,AFR,Yoruba,African
NA19207,YRI,AFR,Yoruba,African
NA19209,YRI,AFR,Yoruba,African
NA19210,YRI,AFR,Yoruba,African
NA19213,YRI,AFR,Yoruba,African
NA19214,YRI,AFR,Yoruba,African
NA19222,YRI,AFR,Yoruba,African
NA19223,YRI,AFR,Yoruba,African
NA19225,YRI,AFR,Yoruba,African
NA19235,YRI,AFR,Yoruba,African
NA19236,YRI,AFR,Yoruba,African
NA19238,YRI,AFR,Yoruba,African
NA19239,YRI,AFR,Yoruba,African
NA19247,YRI,AFR,Yoruba,African
NA19248,YRI,AFR,Yoruba,African
NA19256,YRI,AFR,Yoruba,African
NA19257,YRI,AFR,Yoruba,African
NA19307,LWK,AFR,Luhya,African
NA19308,LWK,AFR,Luhya,African
NA19309,LWK,AFR,Luhya,African
NA19310,LWK,AFR,Luhya,African
NA19312,LWK,AFR,Luhya,African
NA19314,LWK,AFR,Luhya,African
NA19315,LWK,AFR,Luhya,African
NA19316,LWK,AFR,Luhya,African
NA19317,LWK,AFR,Luhya,African
NA19318,LWK,AFR,Luhya,African
NA19319,LWK,AFR,Luhya,African
NA19320,LWK,AFR,Luhya,African
NA19321,LWK,AFR,Luhya,African
NA19323,LWK,AFR,Luhya,African
NA19324,LWK,AFR,Luhya,African
NA19327,LWK,AFR,Luhya,African
NA19328,LWK,AFR,Luhya,African
NA19331,LWK,AFR,Luhya,African
NA19332,LWK,AFR,Luhya,African
NA19334,LWK,AFR,Luhya,African
NA19338,LWK,AFR,Luhya,African
NA19346,LWK,AFR,Luhya,African
NA19347,LWK,AFR,Luhya,African
NA19350,LWK,AFR,Luhya,African
NA19351,LWK,AFR,Luhya,African
NA19355,LWK,AFR,Luhya,African
NA19360,LWK,AFR,Luhya,African
NA19372,LWK,AFR,Luhya,African
NA19374,LWK,AFR,Luhya,African
NA19375,LWK,AFR,Luhya,African
NA19376,LWK,AFR,Luhya,African
NA19377,LWK,AFR,Luhya,African
NA19378,LWK,AFR,Luhya,African
NA19379,LWK,AFR,Luhya,African
NA19380,LWK,AFR,Luhya,African
NA19383,LWK,AFR,Luhya,African
NA19384,LWK,AFR,Luhya,African
NA19385,LWK,AFR,Luhya,African
NA19390,LWK,AFR,Luhya,African
NA19391,LWK,AFR,Luhya,African
NA19393,LWK,AFR,Luhya,African
NA19394,LWK,AFR,Luhya,African
NA19395,LWK,AFR,Luhya,African
NA19397,LWK,AFR,Luhya,African
NA19399,LWK,AFR,Luhya,African
NA19401,LWK,AFR,Luhya,African
NA19403,LWK,AFR,Luhya,African
NA19404,LWK,AFR,Luhya,African
NA19428,LWK,AFR,Luhya,African
NA19429,LWK,AFR,Luhya,African
NA19430,LWK,AFR,Luhya,African
NA19431,LWK,AFR,Luhya,African
NA19434,LWK,AFR,Luhya,African
NA19435,LWK,AFR,Luhya,African
NA19436,LWK,AFR,Luhya,African
NA19437,LWK,AFR,Luhya,African
NA19438,LWK,AFR,Luhya,African
NA19439,LWK,AFR,Luhya,African
NA19440,LWK,AFR,Luhya,African
NA19443,LWK,AFR,Luhya,African
NA19445,LWK,AFR,Luhya,African
NA19446,LWK,AFR,Luhya,African
NA19448,LWK,AFR,Luhya,African
NA19449,LWK,AFR,Luhya,African
NA19451,LWK,AFR,Luhya,African
NA19452,LWK,AFR,Luhya,African
NA19454,LWK,AFR,Luhya,African
NA19455,LWK,AFR,Luhya,African
NA19456,LWK,AFR,Luhya,African
NA19457,LWK,AFR,Luhya,African
NA19461,LWK,AFR,Luhya,African
NA19462,LWK,AFR,Luhya,African
NA19463,LWK,AFR,Luhya,African
NA19466,LWK,AFR,Luhya,African
NA19467,LWK,AFR,Luhya,African
NA19468,LWK,AFR,Luhya,African
NA19471,LWK,AFR,Luhya,African
NA19472,LWK,AFR,Luhya,African
NA19473,LWK,AFR,Luhya,African
NA19474,LWK,AFR,Luhya,African
NA19475,LWK,AFR,Luhya,African
NA19625,ASW,AMR,African-American SW,American
NA19648,MXL,AMR,Mexican-American,American
NA19649,MXL,AMR,Mexican-American,American
NA19651,MXL,AMR,Mexican-American,American
NA19652,MXL,AMR,Mexican-American,American
NA19654,MXL,AMR,Mexican-American,American
NA19655,MXL,AMR,Mexican-American,American
NA19657,MXL,AMR,Mexican-American,American
NA19658,MXL,AMR,Mexican-American,American
NA19661,MXL,AMR,Mexican-American,American
NA19663,MXL,AMR,Mexican-American,American
NA19664,MXL,AMR,Mexican-American,American
NA19669,MXL,AMR,Mexican-American,American
NA19670,MXL,AMR,Mexican-American,American
NA19676,MXL,AMR,Mexican-American,American
NA19678,MXL,AMR,Mexican-American,American
NA19679,MXL,AMR,Mexican-American,American
NA19681,MXL,AMR,Mexican-American,American
NA19682,MXL,AMR,Mexican-American,American
NA19684,MXL,AMR,Mexican-American,American
NA19700,ASW,AMR,African-American SW,American
NA19701,ASW,AMR,African-American SW,American
NA19703,ASW,AMR,African-American SW,American
NA19704,ASW,AMR,African-American SW,American
NA19707,ASW,AMR,African-American SW,American
NA19711,ASW,AMR,African-American SW,American
NA19712,ASW,AMR,African-American SW,American
NA19713,ASW,AMR,African-American SW,American
NA19716,MXL,AMR,Mexican-American,American
NA19717,MXL,AMR,Mexican-American,American
NA19719,MXL,AMR,Mexican-American,American
NA19720,MXL,AMR,Mexican-American,American
NA19722,MXL,AMR,Mexican-American,American
NA19723,MXL,AMR,Mexican-American,American
NA19725,MXL,AMR,Mexican-American,American
NA19726,MXL,AMR,Mexican-American,American
NA19728,MXL,AMR,Mexican-American,American
NA19729,MXL,AMR,Mexican-American,American
NA19731,MXL,AMR,Mexican-American,American
NA19732,MXL,AMR,Mexican-American,American
NA19734,MXL,AMR,Mexican-American,American
NA19735,MXL,AMR,Mexican-American,American
NA19740,MXL,AMR,Mexican-American,American
NA19741,MXL,AMR,Mexican-American,American
NA19746,MXL,AMR,Mexican-American,American
NA19747,MXL,AMR,Mexican-American,American
NA19749,MXL,AMR,Mexican-American,American
NA19750,MXL,AMR,Mexican-American,American
NA19752,MXL,AMR,Mexican-American,American
NA19755,MXL,AMR,Mexican-American,American
NA19756,MXL,AMR,Mexican-American,American
NA19758,MXL,AMR,Mexican-American,American
NA19759,MXL,AMR,Mexican-American,American
NA19761,MXL,AMR,Mexican-American,American
NA19762,MXL,AMR,Mexican-American,American
NA19764,MXL,AMR,Mexican-American,American
NA19770,MXL,AMR,Mexican-American,American
NA19771,MXL,AMR,Mexican-American,American
NA19773,MXL,AMR,Mexican-American,American
NA19774,MXL,AMR,Mexican-American,American
NA19776,MXL,AMR,Mexican-American,American
NA19777,MXL,AMR,Mexican-American,American
NA19779,MXL,AMR,Mexican-American,American
NA19780,MXL,AMR,Mexican-American,American
NA19782,MXL,AMR,Mexican-American,American
NA19783,MXL,AMR,Mexican-American,American
NA19785,MXL,AMR,Mexican-American,American
NA19786,MXL,AMR,Mexican-American,American
NA19788,MXL,AMR,Mexican-American,American
NA19789,MXL,AMR,Mexican-American,American
NA19792,MXL,AMR,Mexican-American,American
NA19794,MXL,AMR,Mexican-American,American
NA19795,MXL,AMR,Mexican-American,American
NA19818,ASW,AMR,African-American SW,American
NA19819,ASW,AMR,African-American SW,American
NA19834,ASW,AMR,African-American SW,American
NA19835,ASW,AMR,African-American SW,American
NA19900,ASW,AMR,African-American SW,American
NA19901,ASW,AMR,African-American SW,American
NA19904,ASW,AMR,African-American SW,American
NA19908,ASW,AMR,African-American SW,American
NA19909,ASW,AMR,African-American SW,American
NA19913,ASW,AMR,African-American SW,American
NA19914,ASW,AMR,African-American SW,American
NA19916,ASW,AMR,African-American SW,American
NA19917,ASW,AMR,African-American SW,American
NA19920,ASW,AMR,African-American SW,American
NA19921,ASW,AMR,African-American SW,American
NA19922,ASW,AMR,African-American SW,American
NA19923,ASW,AMR,African-American SW,American
NA19982,ASW,AMR,African-American SW,American
NA19984,ASW,AMR,African-American SW,American
NA20126,ASW,AMR,African-American SW,American
NA20127,ASW,AMR,African-American SW,American
NA20274,ASW,AMR,African-American SW,American
NA20276,ASW,AMR,African-American SW,American
NA20278,ASW,AMR,African-American SW,American
NA20281,ASW,AMR,African-American SW,American
NA20282,ASW,AMR,African-American SW,American
NA20287,ASW,AMR,African-American SW,American
NA20289,ASW,AMR,African-American SW,American
NA20291,ASW,AMR,African-American SW,American
NA20294,ASW,AMR,African-American SW,American
NA20296,ASW,AMR,African-American SW,American
NA20298,ASW,AMR,African-American SW,American
NA20299,ASW,AMR,African-American SW,American
NA20314,ASW,AMR,African-American SW,American
NA20317,ASW,AMR,African-American SW,American
NA20318,ASW,AMR,African-American SW,American
NA20320,ASW,AMR,African-American SW,American
NA20321,ASW,AMR,African-American SW,American
NA20332,ASW,AMR,African-American SW,American
NA20334,ASW,AMR,African-American SW,American
NA20339,ASW,AMR,African-American SW,American
NA20340,ASW,AMR,African-American SW,American
NA20342,ASW,AMR,African-American SW,American
NA20346,ASW,AMR,African-American SW,American
NA20348,ASW,AMR,African-American SW,American
NA20351,ASW,AMR,African-American SW,American
NA20355,ASW,AMR,African-American SW,American
NA20356,ASW,AMR,African-American SW,American
NA20357,ASW,AMR,African-American SW,American
NA20359,ASW,AMR,African-American SW,American
NA20362,ASW,AMR,African-American SW,American
NA20412,ASW,AMR,African-American SW,American
NA20502,TSI,EUR,Tuscan,European
NA20503,TSI,EUR,Tuscan,European
NA20504,TSI,EUR,Tuscan,European
NA20505,TSI,EUR,Tuscan,European
NA20506,TSI,EUR,Tuscan,European
NA20507,TSI,EUR,Tuscan,European
NA20508,TSI,EUR,Tuscan,European
NA20509,TSI,EUR,Tuscan,European
NA20510,TSI,EUR,Tuscan,European
NA20511,TSI,EUR,Tuscan,European
NA20512,TSI,EUR,Tuscan,European
NA20513,TSI,EUR,Tuscan,European
NA20514,TSI,EUR,Tuscan,European
NA20515,TSI,EUR,Tuscan,European
NA20516,TSI,EUR,Tuscan,European
NA20517,TSI,EUR,Tuscan,European
NA20518,TSI,EUR,Tuscan,European
NA20519,TSI,EUR,Tuscan,European
NA20520,TSI,EUR,Tuscan,European
NA20521,TSI,EUR,Tuscan,European
NA20522,TSI,EUR,Tuscan,European
NA20524,TSI,EUR,Tuscan,European
NA20525,TSI,EUR,Tuscan,European
NA20527,TSI,EUR,Tuscan,European
NA20528,TSI,EUR,Tuscan,European
NA20529,TSI,EUR,Tuscan,European
NA20530,TSI,EUR,Tuscan,European
NA20531,TSI,EUR,Tuscan,European
NA20532,TSI,EUR,Tuscan,European
NA20533,TSI,EUR,Tuscan,European
NA20534,TSI,EUR,Tuscan,European
NA20535,TSI,EUR,Tuscan,European
NA20536,TSI,EUR,Tuscan,European
NA20538,TSI,EUR,Tuscan,European
NA20539,TSI,EUR,Tuscan,European
NA20540,TSI,EUR,Tuscan,European
NA20541,TSI,EUR,Tuscan,European
NA20542,TSI,EUR,Tuscan,European
NA20543,TSI,EUR,Tuscan,European
NA20544,TSI,EUR,Tuscan,European
NA20581,TSI,EUR,Tuscan,European
NA20582,TSI,EUR,Tuscan,European
NA20585,TSI,EUR,Tuscan,European
NA20586,TSI,EUR,Tuscan,European
NA20587,TSI,EUR,Tuscan,European
NA20588,TSI,EUR,Tuscan,European
NA20589,TSI,EUR,Tuscan,European
NA20752,TSI,EUR,Tuscan,European
NA20753,TSI,EUR,Tuscan,European
NA20754,TSI,EUR,Tuscan,European
NA20755,TSI,EUR,Tuscan,European
NA20756,TSI,EUR,Tuscan,European
NA20757,TSI,EUR,Tuscan,European
NA20758,TSI,EUR,Tuscan,European
NA20759,TSI,EUR,Tuscan,European
NA20760,TSI,EUR,Tuscan,European
NA20761,TSI,EUR,Tuscan,European
NA20762,TSI,EUR,Tuscan,European
NA20763,TSI,EUR,Tuscan,European
NA20764,TSI,EUR,Tuscan,European
NA20765,TSI,EUR,Tuscan,European
NA20766,TSI,EUR,Tuscan,European
NA20767,TSI,EUR,Tuscan,European
NA20768,TSI,EUR,Tuscan,European
NA20769,TSI,EUR,Tuscan,European
NA20770,TSI,EUR,Tuscan,European
NA20771,TSI,EUR,Tuscan,European
NA20772,TSI,EUR,Tuscan,European
NA20773,TSI,EUR,Tuscan,European
NA20774,TSI,EUR,Tuscan,European
NA20775,TSI,EUR,Tuscan,European
NA20778,TSI,EUR,Tuscan,European
NA20783,TSI,EUR,Tuscan,European
NA20785,TSI,EUR,Tuscan,European
NA20786,TSI,EUR,Tuscan,European
NA20787,TSI,EUR,Tuscan,European
NA20790,TSI,EUR,Tuscan,European
NA20792,TSI,EUR,Tuscan,European
NA20795,TSI,EUR,Tuscan,European
NA20796,TSI,EUR,Tuscan,European
NA20797,TSI,EUR,Tuscan,European
NA20798,TSI,EUR,Tuscan,European
NA20799,TSI,EUR,Tuscan,European
NA20800,TSI,EUR,Tuscan,European
NA20801,TSI,EUR,Tuscan,European
NA20802,TSI,EUR,Tuscan,European
NA20803,TSI,EUR,Tuscan,European
NA20804,TSI,EUR,Tuscan,European
NA20805,TSI,EUR,Tuscan,European
NA20806,TSI,EUR,Tuscan,European
NA20807,TSI,EUR,Tuscan,European
NA20808,TSI,EUR,Tuscan,European
NA20809,TSI,EUR,Tuscan,European
NA20810,TSI,EUR,Tuscan,European
NA20811,TSI,EUR,Tuscan,European
NA20812,TSI,EUR,Tuscan,European
NA20813,TSI,EUR,Tuscan,European
NA20814,TSI,EUR,Tuscan,European
NA20815,TSI,EUR,Tuscan,European
NA20818,TSI,EUR,Tuscan,European
NA20819,TSI,EUR,Tuscan,European
NA20821,TSI,EUR,Tuscan,European
NA20822,TSI,EUR,Tuscan,European
NA20826,TSI,EUR,Tuscan,European
NA20827,TSI,EUR,Tuscan,European
NA20828,TSI,EUR,Tuscan,European
NA20832,TSI,EUR,Tuscan,European
NA20845,GIH,SAS,Gujarati,South Asian
NA20846,GIH,SAS,Gujarati,South Asian
NA20847,GIH,SAS,Gujarati,South Asian
NA20849,GIH,SAS,Gujarati,South Asian
NA20850,GIH,SAS,Gujarati,South Asian
NA20851,GIH,SAS,Gujarati,South Asian
NA20852,GIH,SAS,Gujarati,South Asian
NA20853,GIH,SAS,Gujarati,South Asian
NA20854,GIH,SAS,Gujarati,South Asian
NA20856,GIH,SAS,Gujarati,South Asian
NA20858,GIH,SAS,Gujarati,South Asian
NA20859,GIH,SAS,Gujarati,South Asian
NA20861,GIH,SAS,Gujarati,South Asian
NA20862,GIH,SAS,Gujarati,South Asian
NA20863,GIH,SAS,Gujarati,South Asian
NA20864,GIH,SAS,Gujarati,South Asian
NA20866,GIH,SAS,Gujarati,South Asian
NA20867,GIH,SAS,Gujarati,South Asian
NA20868,GIH,SAS,Gujarati,South Asian
NA20869,GIH,SAS,Gujarati,South Asian
NA20870,GIH,SAS,Gujarati,South Asian
NA20872,GIH,SAS,Gujarati,South Asian
NA20874,GIH,SAS,Gujarati,South Asian
NA20875,GIH,SAS,Gujarati,South Asian
NA20876,GIH,SAS,Gujarati,South Asian
NA20877,GIH,SAS,Gujarati,South Asian
NA20878,GIH,SAS,Gujarati,South Asian
NA20881,GIH,SAS,Gujarati,South Asian
NA20882,GIH,SAS,Gujarati,South Asian
NA20884,GIH,SAS,Gujarati,South Asian
NA20885,GIH,SAS,Gujarati,South Asian
NA20886,GIH,SAS,Gujarati,South Asian
NA20887,GIH,SAS,Gujarati,South Asian
NA20888,GIH,SAS,Gujarati,South Asian
NA20889,GIH,SAS,Gujarati,South Asian
NA20890,GIH,SAS,Gujarati,South Asian
NA20891,GIH,SAS,Gujarati,South Asian
NA20892,GIH,SAS,Gujarati,South Asian
NA20894,GIH,SAS,Gujarati,South Asian
NA20895,GIH,SAS,Gujarati,South Asian
NA20896,GIH,SAS,Gujarati,South Asian
NA20897,GIH,SAS,Gujarati,South Asian
NA20899,GIH,SAS,Gujarati,South Asian
NA20900,GIH,SAS,Gujarati,South Asian
NA20901,GIH,SAS,Gujarati,South Asian
NA20902,GIH,SAS,Gujarati,South Asian
NA20903,GIH,SAS,Gujarati,South Asian
NA20904,GIH,SAS,Gujarati,South Asian
NA20905,GIH,SAS,Gujarati,South Asian
NA20906,GIH,SAS,Gujarati,South Asian
NA20908,GIH,SAS,Gujarati,South Asian
NA20910,GIH,SAS,Gujarati,South Asian
NA20911,GIH,SAS,Gujarati,South Asian
NA21086,GIH,SAS,Gujarati,South Asian
NA21087,GIH,SAS,Gujarati,South Asian
NA21088,GIH,SAS,Gujarati,South Asian
NA21089,GIH,SAS,Gujarati,South Asian
NA21090,GIH,SAS,Gujarati,South Asian
NA21091,GIH,SAS,Gujarati,South Asian
NA21092,GIH,SAS,Gujarati,South Asian
NA21093,GIH,SAS,Gujarati,South Asian
NA21094,GIH,SAS,Gujarati,South Asian
NA21095,GIH,SAS,Gujarati,South Asian
NA21097,GIH,SAS,Gujarati,South Asian
NA21098,GIH,SAS,Gujarati,South Asian
NA21099,GIH,SAS,Gujarati,South Asian
NA21100,GIH,SAS,Gujarati,South Asian
NA21101,GIH,SAS,Gujarati,South Asian
NA21102,GIH,SAS,Gujarati,South Asian
NA21103,GIH,SAS,Gujarati,South Asian
NA21104,GIH,SAS,Gujarati,South Asian
NA21105,GIH,SAS,Gujarati,South Asian
NA21106,GIH,SAS,Gujarati,South Asian
NA21107,GIH,SAS,Gujarati,South Asian
NA21108,GIH,SAS,Gujarati,South Asian
NA21109,GIH,SAS,Gujarati,South Asian
NA21110,GIH,SAS,Gujarati,South Asian
NA21111,GIH,SAS,Gujarati,South Asian
NA21112,GIH,SAS,Gujarati,South Asian
NA21113,GIH,SAS,Gujarati,South Asian
NA21114,GIH,SAS,Gujarati,South Asian
NA21115,GIH,SAS,Gujarati,South Asian
NA21116,GIH,SAS,Gujarati,South Asian
NA21117,GIH,SAS,Gujarati,South Asian
NA21118,GIH,SAS,Gujarati,South Asian
NA21119,GIH,SAS,Gujarati,South Asian
NA21120,GIH,SAS,Gujarati,South Asian
NA21122,GIH,SAS,Gujarati,South Asian
NA21123,GIH,SAS,Gujarati,South Asian
NA21124,GIH,SAS,Gujarati,South Asian
NA21125,GIH,SAS,Gujarati,South Asian
NA21126,GIH,SAS,Gujarati,South Asian
NA21127,GIH,SAS,Gujarati,South Asian
NA21128,GIH,SAS,Gujarati,South Asian
NA21129,GIH,SAS,Gujarati,South Asian
NA21130,GIH,SAS,Gujarati,South Asian
NA21133,GIH,SAS,Gujarati,South Asian
NA21135,GIH,SAS,Gujarati,South Asian
NA21137,GIH,SAS,Gujarati,South Asian
NA21141,GIH,SAS,Gujarati,South Asian
NA21142,GIH,SAS,Gujarati,South Asian
NA21143,GIH,SAS,Gujarati,South Asian
NA21144,GIH,SAS,Gujarati,South Asian
